mat_row_no,mat_col_no,conv_row_no,conv_col_no,p,runner,t1,t2
1000,1000,3,3,5,mpi_v1,0.017546,0.017508
1000,1000,3,3,5,mpi_v1,0.019218,0.019163
1000,1000,3,3,5,mpi_v1,0.018018,0.017974
1000,1000,3,3,5,mpi_v1,0.016291,0.016249
1000,1000,3,3,5,mpi_v1,0.017028,0.016993
1000,1000,3,3,5,mpi_v1,0.017802,0.017757
1000,1000,3,3,5,mpi_v1,0.015979,0.015945
1000,1000,3,3,5,mpi_v1,0.016581,0.01654
1000,1000,3,3,5,mpi_v1,0.01717,0.017135
1000,1000,3,3,5,mpi_v1,0.019582,0.019542
1000,1000,3,3,9,mpi_v1,0.026864,0.026791
1000,1000,3,3,9,mpi_v1,0.026228,0.026148
1000,1000,3,3,9,mpi_v1,0.022402,0.022295
1000,1000,3,3,9,mpi_v1,0.027316,0.027222
1000,1000,3,3,9,mpi_v1,0.023585,0.023523
1000,1000,3,3,9,mpi_v1,0.021644,0.021544
1000,1000,3,3,9,mpi_v1,0.026363,0.026261
1000,1000,3,3,9,mpi_v1,0.0259,0.025802
1000,1000,3,3,9,mpi_v1,0.025989,0.02589
1000,1000,3,3,9,mpi_v1,0.028796,0.028711
1000,1000,3,3,17,mpi_v1,0.051097,0.050968
1000,1000,3,3,17,mpi_v1,0.060207,0.060086
1000,1000,3,3,17,mpi_v1,0.051525,0.051404
1000,1000,3,3,17,mpi_v1,0.058105,0.057967
1000,1000,3,3,17,mpi_v1,0.07038,0.070238
1000,1000,3,3,17,mpi_v1,0.040914,0.040784
1000,1000,3,3,17,mpi_v1,0.044349,0.044227
1000,1000,3,3,17,mpi_v1,0.056215,0.056085
1000,1000,3,3,17,mpi_v1,0.057392,0.057259
1000,1000,3,3,17,mpi_v1,0.041499,0.041383
10000,10000,3,3,5,mpi_v1,1.074027,1.073994
10000,10000,3,3,5,mpi_v1,1.079684,1.079652
10000,10000,3,3,5,mpi_v1,1.215557,1.215516
10000,10000,3,3,5,mpi_v1,1.157091,1.157049
10000,10000,3,3,5,mpi_v1,1.118313,1.118267
10000,10000,3,3,5,mpi_v1,1.108164,1.108115
10000,10000,3,3,5,mpi_v1,1.238386,1.238351
10000,10000,3,3,5,mpi_v1,1.071065,1.07103
10000,10000,3,3,5,mpi_v1,1.242203,1.242157
10000,10000,3,3,5,mpi_v1,1.284176,1.284129
10000,10000,3,3,9,mpi_v1,1.984919,1.984819
10000,10000,3,3,9,mpi_v1,2.015559,2.01542
10000,10000,3,3,9,mpi_v1,2.258639,2.258541
10000,10000,3,3,9,mpi_v1,2.020967,2.020871
10000,10000,3,3,9,mpi_v1,1.98214,1.982058
10000,10000,3,3,9,mpi_v1,1.921189,1.921099
10000,10000,3,3,9,mpi_v1,2.03297,2.03286
10000,10000,3,3,9,mpi_v1,2.057048,2.056964
10000,10000,3,3,9,mpi_v1,2.065583,2.065455
10000,10000,3,3,9,mpi_v1,1.93458,1.934484
10000,10000,3,3,17,mpi_v1,4.146832,4.146697
10000,10000,3,3,17,mpi_v1,3.742566,3.742442
10000,10000,3,3,17,mpi_v1,3.767793,3.767655
10000,10000,3,3,17,mpi_v1,3.954264,3.954141
10000,10000,3,3,17,mpi_v1,3.477912,3.477803
10000,10000,3,3,17,mpi_v1,3.712446,3.712321
10000,10000,3,3,17,mpi_v1,4.02127,4.021154
10000,10000,3,3,17,mpi_v1,3.880339,3.880182
10000,10000,3,3,17,mpi_v1,3.51459,3.514475
10000,10000,3,3,17,mpi_v1,3.76183,3.761716
1000,1000,3,3,4,mpi_v2,0.027121,0.009397
1000,1000,3,3,4,mpi_v2,0.019839,0.007209
1000,1000,3,3,4,mpi_v2,0.026398,0.010474
1000,1000,3,3,4,mpi_v2,0.026744,0.010822
1000,1000,3,3,4,mpi_v2,0.026381,0.010504
1000,1000,3,3,4,mpi_v2,0.026072,0.010833
1000,1000,3,3,4,mpi_v2,0.025719,0.010523
1000,1000,3,3,4,mpi_v2,0.027141,0.010681
1000,1000,3,3,4,mpi_v2,0.02609,0.009753
1000,1000,3,3,4,mpi_v2,0.028974,0.01096
1000,1000,3,3,8,mpi_v2,0.021197,0.005754
1000,1000,3,3,8,mpi_v2,0.021656,0.005873
1000,1000,3,3,8,mpi_v2,0.022293,0.005718
1000,1000,3,3,8,mpi_v2,0.023239,0.005831
1000,1000,3,3,8,mpi_v2,0.02211,0.005975
1000,1000,3,3,8,mpi_v2,0.021553,0.005738
1000,1000,3,3,8,mpi_v2,0.022758,0.005666
1000,1000,3,3,8,mpi_v2,0.021134,0.005855
1000,1000,3,3,8,mpi_v2,0.021608,0.006076
1000,1000,3,3,8,mpi_v2,0.023111,0.007602
1000,1000,3,3,16,mpi_v2,0.025281,0.008663
1000,1000,3,3,16,mpi_v2,0.026102,0.008673
1000,1000,3,3,16,mpi_v2,0.026522,0.010228
